STATE,COUNTY,FIPS,TRACT,population,AVGCONCMAJ,AVGCONCAR,AVGCONCON,AVGCONCNON,AVGCONCBK,AVGCONCSEC,AVGCONCTOT,AVGEXPMAJ,AVGEXPAR,AVGEXPON,AVGEXPNON,AVGEXPBK,AVGEXPSEC,AVGEXPTOT,AVGRSKMAJ,AVGRSKAR,AVGRSKON,AVGRSKNON,AVGRSKBK,AVGRSKSEC,AVGRSKTOT,RESPTOT,NEURTOT,LIVRTOT,DEVTOT,RPROTOT,KIDNTOT,OCULTOT,ENDOTOT,HEMATOT,IMMUTOT,SKELTOT,SPLETOT,THYRTOT,WHOLTOT,Chemical.Name
TX,Galveston,48167,48167720400,4336,0.094559946,0.11087343,0.042797045,0.04183106,0.287404105,0,0.577465586,0.084270205,0.099291551,0.072604785,0.048169074,0.216367943,0,0.520703558,6.57E-07,7.74E-07,5.66E-07,3.76E-07,1.69E-06,0,4.06E-06,0,0,0,0,0,0,0,0,0,0.017356785,0,0,0,0,BENZENE
TX,Galveston,48167,48167720400,4336,0.029057314,0.000157489,0.004652627,0.004450356,0.023829384,0,0.06214717,0.026947824,0.00012144,0.009312035,0.006821559,0.017820597,0,0.061023455,8.08E-07,3.64E-09,2.79E-07,2.05E-07,5.35E-07,0,1.83E-06,0,0,0,0,0.030511728,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Galveston,48167,48167720400,4336,0.007811035,0.018370914,0,0,0,0,0.026181949,0.007800839,0.013020225,0,0,0,0,0.020821064,0,0,0,0,0,0,0,0,0.006940355,0,0,0,0,0,0,0,0,0,0,0.006940355,0,CYANIDE
TX,Galveston,48167,48167720400,4336,0,0,0.180813483,0.460046068,0,0,0.64085955,0,0,0.148247002,0.237454264,0,0,0.385701266,0,0,0,0,0,0,0,0.077140253,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Galveston,48167,48167720400,4336,0.093366072,0.253622439,0.133627155,0.077212288,0.565045325,0,1.122873278,0.079509575,0.245553198,0.214243878,0.079939781,0.547067867,0,1.1663143,0,0,0,0,0,0,0,0,0.000233263,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Galveston,48167,48167720500,14392,0.009174716,0.011554228,0.021384484,0.038403734,0,1.28535,1.365867161,0.007756373,0.009660273,0.024794041,0.040225957,0,0.996548587,1.078985232,1.71E-08,2.13E-08,5.45E-08,8.85E-08,0,2.19E-06,2.37E-06,0.119887248,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Galveston,48167,48167720500,14392,0.098344236,0.105835369,0.076374312,0.041869386,0.287404105,0,0.609827408,0.092197485,0.101393398,0.090739841,0.047253307,0.218609723,0,0.550193755,7.19E-07,7.91E-07,7.08E-07,3.69E-07,1.71E-06,0,4.29E-06,0,0,0,0,0,0,0,0,0,0.018339792,0,0,0,0,BENZENE
TX,Galveston,48167,48167720500,14392,0.023274866,0.000148627,0.007257602,0.003335354,0.023829384,0,0.057845833,0.023090153,0.000113695,0.008585485,0.004792584,0.017984795,0,0.054566711,6.93E-07,3.41E-09,2.58E-07,1.44E-07,5.40E-07,0,1.64E-06,0,0,0,0,0.027283355,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Galveston,48167,48167720500,14392,0.008127874,0.017710973,0,0,0,0,0.025838847,0.008091922,0.012224702,0,0,0,0,0.020316623,0,0,0,0,0,0,0,0,0.006772208,0,0,0,0,0,0,0,0,0,0,0.006772208,0,CYANIDE
TX,Galveston,48167,48167720500,14392,0,0,0.30167932,0.605584905,0,0,0.907264225,0,0,0.207849322,0.302574924,0,0,0.510424246,0,0,0,0,0,0,0,0.102084849,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Galveston,48167,48167720500,14392,0.092255035,0.32739732,0.240079177,0.075668861,0.565045325,0,1.300445719,0.082416875,0.28376825,0.274651533,0.076834488,0.489747208,0,1.207418354,0,0,0,0,0,0,0,0,0.000241484,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Galveston,48167,48167720600,3406,0.007507591,0.009961996,0.015885443,0.022410565,0,1.28535,1.341115594,0.006547069,0.007987629,0.02728976,0.025110733,0,0.96031948,1.027254672,1.44E-08,1.76E-08,6.00E-08,5.52E-08,0,2.11E-06,2.26E-06,0.114139408,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Galveston,48167,48167720600,3406,0.081474913,0.084137665,0.057265429,0.029600612,0.287404105,0,0.539882723,0.075375619,0.076570655,0.115628196,0.033715609,0.207473138,0,0.508763216,5.88E-07,5.97E-07,9.02E-07,2.63E-07,1.62E-06,0,3.97E-06,0,0,0,0,0,0,0,0,0,0.016958774,0,0,0,0,BENZENE
TX,Galveston,48167,48167720600,3406,0.018690635,0.000115602,0.005440527,0.002393463,0.023829384,0,0.050469611,0.018051595,8.61E-05,0.0145,0.003554917,0.017440889,0,0.053633512,5.42E-07,2.58E-09,4.35E-07,1.07E-07,5.23E-07,0,1.61E-06,0,0,0,0,0.026816756,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Galveston,48167,48167720600,3406,0.00637525,0.0136908,0,0,0,0,0.020066049,0.006392513,0.010029131,0,0,0,0,0.016421644,0,0,0,0,0,0,0,0,0.005473881,0,0,0,0,0,0,0,0,0,0,0.005473881,0,CYANIDE
TX,Galveston,48167,48167720600,3406,0,0,0.222529532,0.340320276,0,0,0.562849808,0,0,0.238775818,0.189370954,0,0,0.428146772,0,0,0,0,0,0,0,0.085629354,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Galveston,48167,48167720600,3406,0.076537806,0.175030154,0.179830123,0.060098864,0.565045325,0,1.056542272,0.064347882,0.173511454,0.349070204,0.059035136,0.560142546,0,1.206107221,0,0,0,0,0,0,0,0,0.000241221,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
